name,smiles,compound_class,docking_status,best_affinity,n_poses,probability_protective,probability_toxic,ml_prediction
Indomethacin (control),COC1=CC2=C(C=C1)C(CC(O)=O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1,NSAID control,success,-8.121,9,,,
Precocene I,COc1cc2OC(C)(C)C=Cc2cc1,Chromene,success,-6.88,9,0.9792597889900208,0.0207402035593986,Nephroprotective
Precocene II,COc1cc2OC(C)(C)C=Cc2c(OC)c1,Chromene,success,-7.159,9,0.9879431128501892,0.0120568862184882,Nephroprotective
Ageratochromene,COc1cc2OC(C)(C)C=Cc2cc1OC,Chromene,success,-6.975,9,0.9918090105056764,0.008190993219614,Nephroprotective
6-Demethylageratochromene,COc1cc2OC(C)(C)C=Cc2cc1O,Chromene,success,-7.488,9,0.99605131149292,0.0039486647583544,Nephroprotective
Sinensetin,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,Flavonoid,success,-5.562,9,0.897699236869812,0.1023007631301879,Nephroprotective
Nobiletin,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,Flavonoid,success,-5.244,9,0.9868059754371644,0.0131940208375453,Nephroprotective
5'-Methoxynobiletin,COc1cc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc(OC)c1OC,Flavonoid,success,-4.663,9,0.9317083358764648,0.0682916492223739,Nephroprotective
Eupalestin,COc1ccc(-c2cc(=O)c3c(OC)cc(OC)c(OC)c3o2)cc1OC,Flavonoid,success,-6.285,9,0.8147259950637817,0.1852740049362182,Nephroprotective
Linderoflavone B,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c4c(c3o2)OCO4)cc1OC,Flavonoid,success,-6.223,9,0.9060290455818176,0.0939709767699241,Nephroprotective
Kaempferol 3-glucoside,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Flavonoid,success,-6.299,9,0.9853288531303406,0.0146711179986596,Nephroprotective
Quercetin 3-rhamnoside,C[C@@H]1OC(Oc2c(-c3ccc(O)c(O)c3)oc4cc(O)cc(O)c4c2=O)[C@H](O)[C@H](O)[C@H]1O,Flavonoid,success,-8.108,9,0.9693238139152528,0.0306761693209409,Nephroprotective
Lycopsamine,C[C@@H](O)[C@@](O)(CO)C(=O)OC[C@@H]1CCN2CC=C[C@H]12,Alkaloid,success,-6.644,9,0.7613427042961121,0.2386573106050491,Nephroprotective
Echinatine,C[C@@H](O)[C@@](O)(CO)C(=O)OC[C@@H]1CCN2CC=C[C@H]12,Alkaloid,success,-7.377,9,0.7613427042961121,0.2386573106050491,Nephroprotective
beta-Caryophyllene,C=C1CC/C=C(\C)CC[C@@H]2C[C@H]1C2(C)C,Sesquiterpene,success,-3.785,9,0.9594398140907288,0.0405602008104324,Nephroprotective
alpha-Humulene,C/C1=C\CC(/C=C/CC(/C)=C\CC1)C,Sesquiterpene,success,-4.577,9,0.9526312947273254,0.0473686903715133,Nephroprotective
Germacrene D,C/C1=C\C/C(=C(/C)\CC/C(=C\C1)/C)C(C)C,Sesquiterpene,success,-5.501,9,0.9589452743530272,0.0410547256469726,Nephroprotective
beta-Elemene,C=C(C)[C@@H]1CC=C(C)CC1C(=C)C,Sesquiterpene,success,-6.717,9,0.9930710196495056,0.0069290013052523,Nephroprotective
alpha-Pinene,CC1=CCC2CC1C2(C)C,Monoterpene,success,-5.915,9,0.9854792356491088,0.0145207643508911,Nephroprotective
beta-Pinene,C=C1CCC2CC1C2(C)C,Monoterpene,success,-5.852,9,0.9819026589393616,0.018097361549735,Nephroprotective
Limonene,C=C(C)[C@@H]1CC=C(C)CC1,Monoterpene,success,-6.693,9,0.9896594285964966,0.0103405695408582,Nephroprotective
Linalool,C=CC(C)(O)CCC=C(C)C,Monoterpene,success,-5.946,9,0.9941241145133972,0.0058758631348609,Nephroprotective
Eugenol,COc1cc(CC=C)ccc1O,Phenylpropanoid,success,-6.452,9,0.993894100189209,0.006105878856033,Nephroprotective
p-Coumaric acid,OC(=O)/C=C/c1ccc(O)cc1,Phenolic acid,success,-6.863,9,0.9959794282913208,0.0040205586701631,Nephroprotective
Caffeic acid,OC(=O)/C=C/c1ccc(O)c(O)c1,Phenolic acid,success,-7.16,9,0.9867742657661438,0.0132257090881466,Nephroprotective
Ferulic acid,COc1cc(/C=C/C(O)=O)ccc1O,Phenolic acid,success,-7.208,9,0.9848145246505736,0.0151854753494262,Nephroprotective
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,Phenolic acid,success,-6.152,8,0.9891278743743896,0.0108721395954489,Nephroprotective
Protocatechuic acid,OC(=O)c1ccc(O)c(O)c1,Phenolic acid,success,-6.006,8,0.8932453989982605,0.1067545935511589,Nephroprotective
Stigmasterol,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(C)CC=C1[C@H]3CC(C)(C)CCC3=CC[C@@]12C)C(C)C,Steroid,success,-3.747,9,0.9663766622543336,0.033623319119215,Nephroprotective
beta-Sitosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(C)CC=C1[C@H]3CC(C)(C)CCC3=CC[C@@]12C)C(C)C,Steroid,success,-4.057,9,0.9030660390853882,0.0969339832663536,Nephroprotective
Friedelin,CC1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C2C1C,Triterpenoid,success,3.615,9,0.9835917353630066,0.0164082888513803,Nephroprotective
Coumarin,O=c1ccc2ccccc2o1,Coumarin,success,-7.146,8,0.3385632634162903,0.6614367365837097,Nephrotoxic
Agerarin,COc1cc2OC(=O)C=Cc2c(OC)c1OC,Coumarin,success,-6.869,9,0.6423470973968506,0.3576529324054718,Nephroprotective
